,lemma_id,lemma_Bamberg,gloss_Bamberg,nature,lemma_Lat7499,gloss_Lat7499
3,p447_l05_o05,DOCTORIBVS ,PRAECEP ͭ ͦ ͬ ͥᵇ ͧ ᷤ,shorthand,DOCTORIB ,magistris p̃ceptorib
25,p447_l11_o01,excellentes ,EMIN ͤ ᷠ ͭ ͤ ᷤ SUBAUD ͥ ͭ ͧ ͬ ILL ͦ ᷤ IDEST MA ͥ ͦ ͬ ͧ ͫ TU ͦ ᷤ,shorthand,excellentes ,s. illos maiores / superantes eminentes
36,p447_l13_o07,finalitatis ,TERMINA ͭ ͥ ͦ ᷠ ͥ ᷤ,shorthand,finalitatis ,t̃minationis
70,p448_l13_o01,t̃minalis ,FIN ͣ ᷝ ͥ ᷤ,shorthand,terminalis ,finalis
79,p448_l15_o06,primę ,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,shorthand,primę ,.s.c̃iugat̃
80,p448_l16_o09,possĩ ,CONIUNCTI ͧ ͧ ᷤ MODUS,shorthand,possim ,c̃iunctuius modus
90,p448_l20_o05,edo ,COMED ͦ,shorthand,Edo ,manduco
96,p448_l21_o04,quędã ,+,shorthand,quędã ,s.  in .o. / desinunt sic̃ / & illa
105,p448_l28_o03,caluesco ,caluus FI ͤ ͬ ͥ INCIPI ͦ,shorthand,Caluesco ,inc̃ caluere
106,p448_l28_o04,ꝑtimesco ,ꝑtimere INCIPI ͦ,shorthand,Pertimesco ,inc̃ ꝑtimere
107,p448_l28_o05,euanesco ,uanꝰ INCIPI ͦ FI ͤ ͬ ͥ,shorthand,Euanesco. ,inc̃ euanere ł uacuare / ł uanus fieri incipio
111,p449_l02_o07,meditatiua ,VERB ͣ,shorthand,meditatiua. ,÷ meditationes sig̃ / s. uerba
112,p449_l02_o10,solũ ,?,shorthand,solũ ,solũ modo
114,p449_l03_o10,dicturio ,DIC ͤ ͬ ͤ VOLO,shorthand,dicturio ,÷ dictare
123,p449_l17_o01,ea ,VERB ͣ,shorthand,ea ,s uerba
127,p449_l19_o05,finalis ,+,shorthand,finales ,t̃minales
131,p449_l22_o06,reboant ,+,shorthand,Reboant ,resonant
135,p449_l24_o02,igit᷑ ,+,shorthand,.gͥ. ,ap
137,p449_l25_o08,c̃iugationis ,SUBAUD ͥ ͭ ͧ ͬ?  SUNT,shorthand,coniugationis. ,s. sunt
138,p449_l26_o11,alię ,+,shorthand,alię ,c̃iugatioñ; ÷ suas ꝓprias terminationes
140,p449_l27_o08,t̃tia ,CONIUGA ͭ ͥ ͦ,shorthand,t̃tia ,coniugatio
142,p449_l28_o01,quarta ,+,shorthand,quarta ,c̃iugatio
143,p449_l28_o05,scđa ,CONIUGA ͭ ͥ ͦ,shorthand,scđa ,c̃iugatio
144,p449_l29_o01,specialẽ  ,PROPRI ͣ ͫ POSSID ͤ ͭ,shorthand,specialẽ. ,ꝓpriã
